year,south_cr_per_capita,north_cr_per_capita,north_police_count,south_police_count
2000,0.0012034056447112691,0.00325900531079348314,2537,3090
2001,0.00082008535444776166,0.00202293039214837516,2558,3096
2002,0.00076259853880191638,0.00188729882519976798,2554,3110
2003,0.00066267028504253688,0.00168625628979367649,2535,3098
2004,0.00066603865314678562,0.00150926190455577776,2535,3098
2005,0.00062292354141240166,0.00156505361294598497,2524,3149
2006,0.00068220682004717961,0.00152753849868360426,2543,3246
2007,0.00085331991974301597,0.00212008491882787392,2504,3250
2008,0.00084546039416643556,0.00205082624634347877,2444,3188
2009,0.00089778237871909943,0.00207679824852512695,2378,3138
2010,0.00090384544130674718,0.00194501438560343061,2318,3124
2011,0.00082120814381584458,0.0017968777805673632,2211,3012
2012,0.00079381208323462143,0.00168240858576676565,2164,3055
2013,0.00072666927902326307,0.00152850042469033197,2130,3125
2014,0.00062382177290686799,0.0012101029164634598,2135,3181
2015,0.0004944764377037161,0.00113507268793869838,2152,3236
2016,0.00044709472637061705,0.00103407045723228878,2155,3304
2017,0.00039567097331241951,0.00090613429833750328,2063,3178
2018,0.00018817949809069668,0.00040978047886600467,1974,3059
